indice,Fluxo Escolar - Label,Campus (Nome),Matrícula retida?,Ingressantes em (Período Letivo),Modalidade do Curso,Nível de Ensino,Tipo de Modalidade (grupo),Cidade Aluno,Cód. da Matriz,Cód. do Curso,Data Final Período,Data Início Período,Data Última Alteração Matrícula,Dt Ref Início Matrícula,Dt Ref Início Período Letivo,Estado Aluno,Estrutura Etária,Etnia,Faixa Etária,Forma de Ingresso,Forma de Oferta (grupo),Ingressantes em  (Ano Letivo),Num Seq deste Período Letivo,Periodo Letivo (Num),Previsão de Término (Letivo),Reserva vaga,Sexo,Tipo de Modalidade,Tipo_Escola_Origem,É matrícula retida neste período letivo?,Última Alteração de Situação,CH,CH. Disc. Obrigatórias,CH. Disc. Optativas,Duracao curso,Idade (Hoje),Periodos Cursados
1,Evadidos,Acaraú,Dentro do prazo,20151,Subsequente,Técnico,Educação Profissional,Acaraú,5158,11200,2016-06-22,2016-01-25,2016-02-26 11:13:00,2015-01-01,2015-01-07,CE,Adulto (20 a 59 anos),Amarela,25 a 29 anos,Seleção Técnico,Subsequente,2015,1,20152,2016/2,Ampla Concorrência,F,Educação Profissional,E,Não Retida,2016-02-26,1240,1240,0,4,28,2
4,Evadidos,Acaraú,Dentro do prazo,20152,Licenciatura,Graduação,Regular,Acaraú,4496,11401,2016-11-16,2016-06-22,2016-12-01 13:35:00,2015-01-07,2016-01-01,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Sisu,Licenciatura,2015,3,20161,2019/1,"L2 Esc Publica, Renda<1.5sm, Raca",F,Regular,M,Não Retida,2016-12-01,2940,2860,80,8,23,2
12,Evadidos,Acaraú,Dentro do prazo,20152,Licenciatura,Graduação,Regular,Acaraú,4017,11400,2019-05-22,2018-11-26,2018-12-27 13:40:00,2015-01-07,2018-01-07,CE,Adulto (20 a 59 anos),Parda,35 a 39 anos,Sisu,Licenciatura,2015,7,20182,2019/1,Ampla Concorrência,M,Regular,E,Não Retida,2018-12-27,2960,2960,0,8,35,7
21,Evadidos,Acaraú,Dentro do prazo,20161,Fic,Básico,Regular,Acaraú,7274,111021,2016-11-23,2016-07-11,2016-07-11 00:00:00,2016-01-01,2016-01-01,CE,Adulto (20 a 59 anos),Parda,30 a 34 anos,Seleção Extensão,Fic,2016,1,20161,2016/2,Não possui,M,Regular,E,Não Retida,2016-07-11,160,160,0,2,33,1
23,Evadidos,Acaraú,Dentro do prazo,20182,Fic,Básico,Regular,Acaraú,7274,111021,2019-05-22,2018-11-26,2018-11-20 00:00:00,2018-01-07,2018-01-07,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Seleção Extensão,Fic,2018,1,20182,2019/1,Não possui,F,Regular,E,Não Retida,2018-11-20,160,160,0,2,20,1
25,Evadidos,Acaraú,Dentro do prazo,20162,Subsequente,Técnico,Educação Profissional,Itarema,6427,11201,2017-11-16,2017-05-15,2017-06-22 15:24:00,2016-01-07,2017-01-01,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Seleção Técnico,Subsequente,2016,3,20171,2018/1,Ampla Concorrência,M,Educação Profissional,E,Não Retida,2017-06-22,1080,1080,0,4,23,2
31,Evadidos,Acaraú,Dentro do prazo,20172,Licenciatura,Graduação,Regular,Marco,7334,11401,2018-06-04,2017-11-16,2018-12-07 11:05:00,2017-01-07,2017-01-07,CE,Adulto (20 a 59 anos),Parda,25 a 29 anos,Sisu,Licenciatura,2017,1,20172,2021/1,Ampla Concorrência,M,Regular,E,Não Retida,2018-12-07,2800,2800,0,8,26,2
33,Evadidos,Acaraú,Dentro do prazo,20191,Subsequente,Técnico,Educação Profissional,Acaraú,7083,11204,2019-10-31,2019-05-22,2019-05-29 10:19:00,2019-01-01,2019-01-01,CE,Adulto (20 a 59 anos),Preta,20 a 24 anos,Seleção Técnico,Subsequente,2019,1,20191,2019/2,Ampla Concorrência,F,Educação Profissional,E,Não Retida,2019-05-29,800,800,0,2,23,1
34,Evadidos,Acaraú,Dentro do prazo,20161,Subsequente,Técnico,Educação Profissional,Itarema,4928,11202,2017-05-15,2016-11-16,2016-12-01 18:28:00,2016-01-01,2016-01-07,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Seleção Técnico,Subsequente,2016,1,20162,2017/2,Ampla Concorrência,M,Educação Profissional,E,Não Retida,2016-12-01,1480,1480,0,4,22,2
35,Evadidos,Acaraú,Dentro do prazo,20161,Subsequente,Técnico,Educação Profissional,Acaraú,7083,11204,2017-05-15,2016-11-16,2017-05-12 15:27:00,2016-01-01,2016-01-07,CE,Adulto (20 a 59 anos),Branca,20 a 24 anos,Seleção Técnico,Subsequente,2016,1,20162,2016/2,Ampla Concorrência,F,Educação Profissional,E,Não Retida,2017-05-12,800,800,0,2,23,2
