indice,Fluxo Escolar - Label,Campus (Nome),Matrícula retida?,Ingressantes em (Período Letivo),Modalidade do Curso,Nível de Ensino,Tipo de Modalidade (grupo),Cidade Aluno,Cód. da Matriz,Cód. do Curso,Data Final Período,Data Início Período,Data Última Alteração Matrícula,Dt Ref Início Matrícula,Dt Ref Início Período Letivo,Estado Aluno,Estrutura Etária,Etnia,Faixa Etária,Forma de Ingresso,Forma de Oferta (grupo),Ingressantes em  (Ano Letivo),Num Seq deste Período Letivo,Periodo Letivo (Num),Previsão de Término (Letivo),Reserva vaga,Sexo,Tipo de Modalidade,Tipo_Escola_Origem,É matrícula retida neste período letivo?,Última Alteração de Situação,CH,CH. Disc. Obrigatórias,CH. Disc. Optativas,Duracao curso,Idade (Hoje),Periodos Cursados
6,Em Curso,Acaraú,Dentro do prazo,20192,Licenciatura,Graduação,Regular,Itarema,12166,11401,2020-04-27,2019-10-31,2019-08-28 00:00:00,2019-01-07,2019-01-07,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Sisu,Licenciatura,2019,1,20192,2023/1,"L2 Esc Publica, Renda<1.5sm, Raca",M,Regular,E,Não Retida,2019-08-28,2800,2800,0,8,20,1
8,Em Curso,Acaraú,Dentro do prazo,20182,Licenciatura,Graduação,Regular,Marco,4017,11400,2019-05-22,2018-11-26,2019-10-02 13:41:00,2018-01-07,2018-01-07,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Sisu,Licenciatura,2018,1,20182,2022/1,Ampla Concorrência,F,Regular,E,Não Retida,2019-10-02,2960,2960,0,8,21,4
9,Em Curso,Acaraú,Dentro do prazo,20172,Licenciatura,Graduação,Regular,Acaraú,7334,11401,2020-04-27,2019-10-31,2019-06-07 21:16:00,2017-01-07,2019-01-07,CE,Adulto (20 a 59 anos),Branca,35 a 39 anos,Sisu,Licenciatura,2017,5,20192,2021/1,Ampla Concorrência,F,Regular,E,Não Retida,2019-06-07,3200,3200,0,8,36,6
10,Em Curso,Acaraú,Dentro do prazo,20181,Licenciatura,Graduação,Regular,Itarema,4017,11400,2018-11-26,2018-06-04,2019-08-22 00:00:00,2018-01-01,2018-01-01,CE,Adulto (20 a 59 anos),Parda,35 a 39 anos,Sisu,Licenciatura,2018,1,20181,2021/2,Ampla Concorrência,M,Regular,E,Não Retida,2019-08-22,2960,2960,0,8,35,4
15,Em Curso,Acaraú,Dentro do prazo,20192,Licenciatura,Graduação,Regular,Cruz,4017,11400,2020-04-27,2019-10-31,2019-09-05 00:00:00,2019-01-07,2019-01-07,CE,Adulto (20 a 59 anos),Branca,20 a 24 anos,Sisu,Licenciatura,2019,1,20192,2023/1,Ampla Concorrência,M,Regular,E,Não Retida,2019-09-05,2960,2960,0,8,21,1
20,Em Curso,Acaraú,Dentro do prazo,20171,Licenciatura,Graduação,Regular,Acaraú,7334,11401,2017-11-16,2017-05-15,2018-11-19 00:00:00,2017-01-01,2017-01-01,CE,Adulto (20 a 59 anos),Branca,20 a 24 anos,Sisu,Licenciatura,2017,1,20171,2020/2,Ampla Concorrência,F,Regular,E,Não Retida,2018-11-19,3200,3200,0,8,22,6
24,Em Curso,Acaraú,Dentro do prazo,20192,Licenciatura,Graduação,Regular,Acaraú,12166,11401,2020-04-27,2019-10-31,2019-11-20 15:47:00,2019-01-07,2019-01-07,CE,Adulto (20 a 59 anos),Parda,30 a 34 anos,Sisu,Licenciatura,2019,1,20192,2023/1,Ampla Concorrência,M,Regular,P,Não Retida,2019-11-20,2800,2800,0,8,31,2
28,Em Curso,Acaraú,Dentro do prazo,20191,Licenciatura,Graduação,Regular,Jijoca de Jericoacoara,4017,11400,2020-04-27,2019-10-31,2019-05-03 00:00:00,2019-01-01,2019-01-07,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Sisu,Licenciatura,2019,1,20192,2022/2,Ampla Concorrência,M,Regular,E,Não Retida,2019-05-03,2960,2960,0,8,20,2
30,Em Curso,Acaraú,Dentro do prazo,20191,Licenciatura,Graduação,Regular,Marco,7334,11401,2019-10-31,2019-05-22,2019-03-11 00:00:00,2019-01-01,2019-01-01,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Sisu,Licenciatura,2019,1,20191,2022/2,"L1 Esc Publica, Renda<1.5sm",F,Regular,E,Não Retida,2019-03-11,2800,2800,0,8,20,2
32,Em Curso,Acaraú,Dentro do prazo,20181,Licenciatura,Graduação,Regular,Acaraú,4017,11400,2019-10-31,2019-05-22,2018-11-19 00:00:00,2018-01-01,2019-01-01,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Sisu,Licenciatura,2018,3,20191,2021/2,"L6 Esc Publica, Indep. Renda, Raca",M,Regular,E,Não Retida,2018-11-19,2960,2960,0,8,21,4
