,Num Seq deste Período Letivo,Periodos Cursados,Data Última Alteração Matrícula,Nível de Ensino,Previsão de Término (Letivo),Tipo_Escola_Origem,Fluxo Escolar - Label,Dt Ref Início Matrícula,Idade (Hoje),Matrícula retida?,Cód. da Matriz,Etnia,Periodo Letivo (Num),Última Alteração de Situação,CH. Disc. Obrigatórias,Dt Ref Início Período Letivo,Forma de Oferta (grupo),Ingressantes em  (Ano Letivo),Modalidade do Curso,Estado Aluno,Cód. do Curso,Data Início Período,Forma de Ingresso,Faixa Etária,Sexo,Data Final Período,Ingressantes em (Período Letivo),Duracao curso,CH. Disc. Optativas,Tipo de Modalidade,Tipo de Modalidade (grupo),Estrutura Etária,CH,Campus (Nome),É matrícula retida neste período letivo?,Cidade Aluno
3,1,2,2018-11-09 00:00:00,Técnico,2018/1,E,Formados,2017-01-07 00:00:00,23,Fora do prazo,7083,Parda,20172,2018-11-09 00:00:00,800,2017-01-07 00:00:00,Subsequente,2017,Subsequente,CE,11204,2017-11-16 00:00:00,Seleção Técnico,20 a 24 anos,M,2018-06-04 00:00:00,20172,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Marco
5,1,1,2016-05-27 00:00:00,Básico,2015/2,E,Formados,2015-01-07 00:00:00,23,Dentro do prazo,6342,Parda,20152,2016-05-27 00:00:00,60,2015-01-07 00:00:00,Fic,2015,Fic,CE,111018,2016-02-03 00:00:00,Seleção Extensão,20 a 24 anos,F,2016-05-27 00:00:00,20152,1,0,Regular,Regular,Adulto (20 a 59 anos),60,Acaraú,Não Retida,Acaraú
16,1,1,2016-05-27 00:00:00,Básico,2015/2,E,Formados,2015-01-07 00:00:00,22,Dentro do prazo,6342,Preta,20152,2016-05-27 00:00:00,60,2015-01-07 00:00:00,Fic,2015,Fic,CE,111018,2016-02-03 00:00:00,Seleção Extensão,20 a 24 anos,F,2016-05-27 00:00:00,20152,1,0,Regular,Regular,Adulto (20 a 59 anos),60,Acaraú,Não Retida,Acaraú
17,1,1,2016-05-27 00:00:00,Básico,2015/2,E,Formados,2015-01-07 00:00:00,22,Dentro do prazo,6352,Parda,20152,2016-05-27 00:00:00,60,2015-01-07 00:00:00,Fic,2015,Fic,CE,111019,2016-02-03 00:00:00,Seleção Extensão,20 a 24 anos,M,2016-05-27 00:00:00,20152,1,0,Regular,Regular,Adulto (20 a 59 anos),60,Acaraú,Não Retida,Acaraú
26,1,2,2018-05-16 00:00:00,Técnico,2017/2,E,Formados,2017-01-01 00:00:00,21,Dentro do prazo,7083,Branca,20171,2018-05-16 00:00:00,800,2017-01-01 00:00:00,Subsequente,2017,Subsequente,CE,11204,2017-05-15 00:00:00,Seleção Técnico,20 a 24 anos,F,2017-11-16 00:00:00,20171,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Acaraú
27,1,1,2017-02-11 00:00:00,Pós-graduação,2016/1,E,Formados,2016-01-01 00:00:00,36,Dentro do prazo,6991,Parda,20161,2017-02-11 00:00:00,360,2016-01-01 00:00:00,Especialização,2016,Especialização,CE,11700,2016-03-12 00:00:00,Seleção Pós-graduação,35 a 39 anos,F,2017-03-17 00:00:00,20161,1,0,Regular,Regular,Adulto (20 a 59 anos),360,Acaraú,Não Retida,Acaraú
46,1,1,2016-05-27 00:00:00,Básico,2015/2,E,Formados,2015-01-07 00:00:00,31,Dentro do prazo,6362,Não dispõe da informação,20152,2016-05-27 00:00:00,60,2015-01-07 00:00:00,Fic,2015,Fic,CE,111020,2016-02-03 00:00:00,Seleção Extensão,30 a 34 anos,F,2016-05-27 00:00:00,20152,1,0,Regular,Regular,Adulto (20 a 59 anos),60,Acaraú,Não Retida,Acaraú
51,1,2,2018-03-17 00:00:00,Pós-graduação,2016/1,P,Formados,2016-01-01 00:00:00,42,Dentro do prazo,6991,Não dispõe da informação,20162,2018-03-17 00:00:00,360,2016-01-07 00:00:00,Especialização,2016,Especialização,CE,11700,2017-03-17 00:00:00,Seleção Pós-graduação,40 a 44 anos,M,2018-08-24 00:00:00,20161,1,0,Regular,Regular,Adulto (20 a 59 anos),360,Acaraú,Não Retida,Acaraú
58,1,2,2018-05-16 00:00:00,Técnico,2017/2,E,Formados,2017-01-01 00:00:00,21,Dentro do prazo,7083,Parda,20171,2018-05-16 00:00:00,800,2017-01-01 00:00:00,Subsequente,2017,Subsequente,CE,11204,2017-05-15 00:00:00,Seleção Técnico,20 a 24 anos,F,2017-11-16 00:00:00,20171,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Acaraú
60,1,2,2019-05-09 00:00:00,Técnico,2018/2,E,Formados,2018-01-01 00:00:00,35,Dentro do prazo,5929,Preta,20182,2019-05-09 00:00:00,800,2018-01-07 00:00:00,Subsequente,2018,Subsequente,CE,11203,2018-11-26 00:00:00,Seleção Técnico,35 a 39 anos,F,2019-05-22 00:00:00,20181,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Acaraú
62,1,2,2017-04-19 00:00:00,Técnico,2016/2,E,Formados,2016-01-01 00:00:00,26,Dentro do prazo,5929,Branca,20162,2017-04-19 00:00:00,800,2016-01-07 00:00:00,Subsequente,2016,Subsequente,CE,11203,2016-11-16 00:00:00,Seleção Técnico,25 a 29 anos,M,2017-05-15 00:00:00,20161,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Acaraú
63,1,1,2017-02-11 00:00:00,Pós-graduação,2016/1,E,Formados,2016-01-01 00:00:00,29,Dentro do prazo,6991,Não quis declarar cor/raça,20161,2017-02-11 00:00:00,360,2016-01-01 00:00:00,Especialização,2016,Especialização,CE,11700,2016-03-12 00:00:00,Seleção Pós-graduação,25 a 29 anos,F,2017-03-17 00:00:00,20161,1,0,Regular,Regular,Adulto (20 a 59 anos),360,Acaraú,Não Retida,Cruz
64,1,1,2016-05-27 00:00:00,Básico,2015/2,E,Formados,2015-01-07 00:00:00,30,Dentro do prazo,6362,Parda,20152,2016-05-27 00:00:00,60,2015-01-07 00:00:00,Fic,2015,Fic,CE,111020,2016-02-03 00:00:00,Seleção Extensão,30 a 34 anos,F,2016-05-27 00:00:00,20152,1,0,Regular,Regular,Adulto (20 a 59 anos),60,Acaraú,Não Retida,Acaraú
71,1,1,2016-05-27 00:00:00,Básico,2015/2,E,Formados,2015-01-07 00:00:00,24,Dentro do prazo,6352,Não dispõe da informação,20152,2016-05-27 00:00:00,60,2015-01-07 00:00:00,Fic,2015,Fic,CE,111019,2016-02-03 00:00:00,Seleção Extensão,20 a 24 anos,F,2016-05-27 00:00:00,20152,1,0,Regular,Regular,Adulto (20 a 59 anos),60,Acaraú,Não Retida,Acaraú
72,1,1,2016-10-18 00:00:00,Básico,2016/2,E,Formados,2016-01-01 00:00:00,22,Dentro do prazo,7275,Não dispõe da informação,20161,2016-10-18 00:00:00,160,2016-01-01 00:00:00,Fic,2016,Fic,CE,111022,2016-07-11 00:00:00,Seleção Extensão,20 a 24 anos,F,2016-11-23 00:00:00,20161,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Não Retida,Acaraú
76,1,2,2019-10-18 00:00:00,Técnico,2019/1,E,Formados,2018-01-07 00:00:00,24,Fora do prazo,7083,Branca,20182,2019-10-18 00:00:00,800,2018-01-07 00:00:00,Subsequente,2018,Subsequente,CE,11204,2018-11-26 00:00:00,Seleção Técnico,20 a 24 anos,F,2019-05-22 00:00:00,20182,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Acaraú
78,1,1,2015-09-11 00:00:00,Básico,2015/1,E,Formados,2015-01-01 00:00:00,28,Dentro do prazo,6352,Parda,20151,2015-09-11 00:00:00,60,2015-01-01 00:00:00,Fic,2015,Fic,CE,111019,2015-05-27 00:00:00,Seleção Extensão,25 a 29 anos,F,2016-02-03 00:00:00,20151,1,0,Regular,Regular,Adulto (20 a 59 anos),60,Acaraú,Não Retida,Acaraú
86,1,1,2015-09-11 00:00:00,Básico,2015/1,E,Formados,2015-01-01 00:00:00,25,Dentro do prazo,6352,Parda,20151,2015-09-11 00:00:00,60,2015-01-01 00:00:00,Fic,2015,Fic,CE,111019,2015-05-27 00:00:00,Seleção Extensão,25 a 29 anos,M,2016-02-03 00:00:00,20151,1,0,Regular,Regular,Adulto (20 a 59 anos),60,Acaraú,Não Retida,Acaraú
90,1,2,2016-10-18 00:00:00,Técnico,2016/1,E,Formados,2015-01-07 00:00:00,22,Fora do prazo,5929,Parda,20152,2016-10-18 00:00:00,800,2015-01-07 00:00:00,Subsequente,2015,Subsequente,CE,11203,2016-01-25 00:00:00,Seleção Técnico,20 a 24 anos,M,2016-06-22 00:00:00,20152,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Acaraú
94,5,4,2017-11-01 00:00:00,Técnico,2017/1,E,Formados,2015-01-07 00:00:00,40,Fora do prazo,4928,Parda,20171,2017-11-01 00:00:00,1480,2017-01-01 00:00:00,Subsequente,2015,Subsequente,CE,11202,2017-05-15 00:00:00,Sisu,40 a 44 anos,M,2017-11-16 00:00:00,20152,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1480,Acaraú,Retida,Acaraú
